,Title,Published_date,Views,Likes,Comments,Month
0,The Data Content House: What You Missed,2022-10-07,6304,239,46,Oct
1,Is Data Science A Good Career?,2022-09-29,33607,1153,100,Sep
2,IRON ANALYST (Teaser) #shorts,2022-09-27,2928,200,21,Sep
3,When a New Data Scientist Joins The Team,2022-08-29,13944,636,121,Aug
4,State of Data Science - Web Data,2022-08-05,9858,346,33,Aug
5,Data Science Town Hall - State of Data Science,2022-08-04,9520,368,38,Aug
6,The Programming Roadmap For Data Science,2022-07-29,10248,606,51,Jul
7,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,29580,1499,83,Jun
8,Can Machine Learning Fix My Baseball Swing?,2022-06-10,6671,318,68,Jun
9,Every Data Scientist... (funny!),2022-05-24,13305,758,145,May
10,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15743,427,65,May
11,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,35145,1045,81,Apr
12,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,16249,712,105,Mar
13,Can Data Defeat This Deceitful OpenSea NFT Scam?,2022-03-03,4412,183,51,Mar
14,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2022-02-21,9963,474,144,Feb
15,What Professional Data Scientists ACTUALLY Do,2022-02-14,80349,2792,178,Feb
16,Can You Analyze My Data Better Than I Can?,2022-01-31,6218,303,62,Jan
17,Giving Back to My Most Engaged Subscribers!,2022-01-28,2215,117,89,Jan
18,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,12978,572,87,Jan
19,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8257,417,85,Jan
20,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,7149,205,32,Jan
21,The Only Data Science Explanation You Need,2022-01-10,28468,1594,159,Jan
22,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,13906,637,144,Jan
23,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,289554,13090,497,Dec
24,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,7896,332,58,Dec
25,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,6418,447,22,Dec
